"","data_code","death_rate","age","race"
"118","SE_T040_002",NA,"18 to 44 Years","White"
"119","SE_T040_002",NA,"18 to 44 Years","White"
"120","SE_T040_002",2.6,"18 to 44 Years","White"
"121","SE_T040_002",NA,"18 to 44 Years","White"
"122","SE_T040_002",NA,"18 to 44 Years","White"
"123","SE_T040_002",NA,"18 to 44 Years","White"
"124","SE_T040_002",NA,"18 to 44 Years","White"
"125","SE_T040_002",NA,"18 to 44 Years","White"
"126","SE_T040_002",NA,"18 to 44 Years","White"
"127","SE_T040_002",NA,"18 to 44 Years","White"
"128","SE_T040_002",NA,"18 to 44 Years","White"
"129","SE_T040_002",NA,"18 to 44 Years","White"
"130","SE_T040_002",NA,"18 to 44 Years","White"
"131","SE_T040_002",1.7,"18 to 44 Years","White"
"132","SE_T040_002",NA,"18 to 44 Years","White"
"133","SE_T040_002",NA,"18 to 44 Years","White"
"134","SE_T040_002",NA,"18 to 44 Years","White"
"135","SE_T040_002",NA,"18 to 44 Years","White"
"136","SE_T040_002",NA,"18 to 44 Years","White"
"137","SE_T040_002",NA,"18 to 44 Years","White"
"138","SE_T040_002",NA,"18 to 44 Years","White"
"139","SE_T040_002",NA,"18 to 44 Years","White"
"140","SE_T040_002",NA,"18 to 44 Years","White"
"141","SE_T040_002",NA,"18 to 44 Years","White"
"142","SE_T040_002",NA,"18 to 44 Years","White"
"143","SE_T040_002",NA,"18 to 44 Years","White"
"144","SE_T040_002",NA,"18 to 44 Years","White"
"145","SE_T040_002",NA,"18 to 44 Years","White"
"146","SE_T040_002",NA,"18 to 44 Years","White"
"147","SE_T040_002",NA,"18 to 44 Years","White"
"148","SE_T040_002",NA,"18 to 44 Years","White"
"149","SE_T040_002",NA,"18 to 44 Years","White"
"150","SE_T040_002",NA,"18 to 44 Years","White"
"151","SE_T040_002",NA,"18 to 44 Years","White"
"152","SE_T040_002",NA,"18 to 44 Years","White"
"153","SE_T040_002",NA,"18 to 44 Years","White"
"154","SE_T040_002",NA,"18 to 44 Years","White"
"155","SE_T040_002",NA,"18 to 44 Years","White"
"156","SE_T040_002",NA,"18 to 44 Years","White"
"157","SE_T040_002",NA,"18 to 44 Years","White"
"158","SE_T040_002",NA,"18 to 44 Years","White"
"159","SE_T040_002",NA,"18 to 44 Years","White"
"160","SE_T040_002",NA,"18 to 44 Years","White"
"161","SE_T040_002",NA,"18 to 44 Years","White"
"162","SE_T040_002",NA,"18 to 44 Years","White"
"163","SE_T040_002",NA,"18 to 44 Years","White"
"164","SE_T040_002",NA,"18 to 44 Years","White"
"165","SE_T040_002",NA,"18 to 44 Years","White"
"166","SE_T040_002",NA,"18 to 44 Years","White"
"167","SE_T040_002",NA,"18 to 44 Years","White"
"168","SE_T040_002",NA,"18 to 44 Years","White"
"169","SE_T040_002",NA,"18 to 44 Years","White"
"170","SE_T040_002",NA,"18 to 44 Years","White"
"171","SE_T040_002",NA,"18 to 44 Years","White"
"172","SE_T040_002",NA,"18 to 44 Years","White"
"173","SE_T040_002",NA,"18 to 44 Years","White"
"174","SE_T040_002",NA,"18 to 44 Years","White"
"175","SE_T040_002",NA,"18 to 44 Years","White"
"176","SE_T040_002",NA,"18 to 44 Years","White"
"177","SE_T040_002",NA,"18 to 44 Years","White"
"178","SE_T040_002",NA,"18 to 44 Years","White"
"179","SE_T040_002",NA,"18 to 44 Years","White"
"180","SE_T040_002",NA,"18 to 44 Years","White"
"181","SE_T040_002",NA,"18 to 44 Years","White"
"182","SE_T040_002",NA,"18 to 44 Years","White"
"183","SE_T040_002",NA,"18 to 44 Years","White"
"184","SE_T040_002",NA,"18 to 44 Years","White"
"185","SE_T040_002",NA,"18 to 44 Years","White"
"186","SE_T040_002",NA,"18 to 44 Years","White"
"187","SE_T040_002",2.2,"18 to 44 Years","White"
"188","SE_T040_002",NA,"18 to 44 Years","White"
"189","SE_T040_002",NA,"18 to 44 Years","White"
"190","SE_T040_002",NA,"18 to 44 Years","White"
"191","SE_T040_002",NA,"18 to 44 Years","White"
"192","SE_T040_002",NA,"18 to 44 Years","White"
"193","SE_T040_002",NA,"18 to 44 Years","White"
"194","SE_T040_002",NA,"18 to 44 Years","White"
"195","SE_T040_002",NA,"18 to 44 Years","White"
"196","SE_T040_002",NA,"18 to 44 Years","White"
"197","SE_T040_002",NA,"18 to 44 Years","White"
"198","SE_T040_002",NA,"18 to 44 Years","White"
"199","SE_T040_002",NA,"18 to 44 Years","White"
"200","SE_T040_002",NA,"18 to 44 Years","White"
"201","SE_T040_002",NA,"18 to 44 Years","White"
"202","SE_T040_002",NA,"18 to 44 Years","White"
"203","SE_T040_002",NA,"18 to 44 Years","White"
"204","SE_T040_002",NA,"18 to 44 Years","White"
"205","SE_T040_002",NA,"18 to 44 Years","White"
"206","SE_T040_002",NA,"18 to 44 Years","White"
"207","SE_T040_002",NA,"18 to 44 Years","White"
"208","SE_T040_002",NA,"18 to 44 Years","White"
"209","SE_T040_002",NA,"18 to 44 Years","White"
"210","SE_T040_002",NA,"18 to 44 Years","White"
"211","SE_T040_002",NA,"18 to 44 Years","White"
"212","SE_T040_002",NA,"18 to 44 Years","White"
"213","SE_T040_002",NA,"18 to 44 Years","White"
"214","SE_T040_002",NA,"18 to 44 Years","White"
"215","SE_T040_002",NA,"18 to 44 Years","White"
"216","SE_T040_002",NA,"18 to 44 Years","White"
"217","SE_T040_002",NA,"18 to 44 Years","White"
"218","SE_T040_002",NA,"18 to 44 Years","White"
"219","SE_T040_002",NA,"18 to 44 Years","White"
"220","SE_T040_002",NA,"18 to 44 Years","White"
"221","SE_T040_002",NA,"18 to 44 Years","White"
"222","SE_T040_002",NA,"18 to 44 Years","White"
"223","SE_T040_002",NA,"18 to 44 Years","White"
"224","SE_T040_002",NA,"18 to 44 Years","White"
"225","SE_T040_002",NA,"18 to 44 Years","White"
"226","SE_T040_002",NA,"18 to 44 Years","White"
"227","SE_T040_002",NA,"18 to 44 Years","White"
"228","SE_T040_002",NA,"18 to 44 Years","White"
"229","SE_T040_002",NA,"18 to 44 Years","White"
"230","SE_T040_002",NA,"18 to 44 Years","White"
"231","SE_T040_002",NA,"18 to 44 Years","White"
"232","SE_T040_002",NA,"18 to 44 Years","White"
"233","SE_T040_002",NA,"18 to 44 Years","White"
"234","SE_T040_002",NA,"18 to 44 Years","White"
"235","SE_T040_002",NA,"18 to 44 Years","White"
"236","SE_T040_002",NA,"18 to 44 Years","White"
"237","SE_T040_002",NA,"18 to 44 Years","White"
"238","SE_T040_002",NA,"18 to 44 Years","White"
"239","SE_T040_002",NA,"18 to 44 Years","White"
"240","SE_T040_002",NA,"18 to 44 Years","White"
"241","SE_T040_002",NA,"18 to 44 Years","White"
"242","SE_T040_002",NA,"18 to 44 Years","White"
"243","SE_T040_002",NA,"18 to 44 Years","White"
"244","SE_T040_002",NA,"18 to 44 Years","White"
"245","SE_T040_002",NA,"18 to 44 Years","White"
"246","SE_T040_002",NA,"18 to 44 Years","White"
"247","SE_T040_002",NA,"18 to 44 Years","White"
"248","SE_T040_002",NA,"18 to 44 Years","White"
"249","SE_T040_002",NA,"18 to 44 Years","White"
"250","SE_T040_002",NA,"18 to 44 Years","White"
"251","SE_T040_002",NA,"18 to 44 Years","White"
"252","SE_T040_002",NA,"18 to 44 Years","White"
"253","SE_T040_002",NA,"18 to 44 Years","White"
"254","SE_T040_002",NA,"18 to 44 Years","White"
